Address,Housing_price,Baths,Housing_type,ZipCode,Beds,Location,Housing_area
181 E 73rd St #7AB,"$2,749,500",NA,NA,10021,NA,"40.770782,-73.9603",NA
71 Park Ave #2B,"$1,575,000",2 ba,Condo,10016,2 bd,"40.749725,-73.978905","1,110 sqft"
157 Ludlow St,"$1,900,000",NA,NA,10002,NA,"40.721,-73.98815",NA
870 5th Ave #11H,"$3,950,000",3 ba,Coop,10065,2 bd,"40.769886,-73.96834",NA
100 Riverside Blvd #18A,"$1,455,000",NA,NA,10069,NA,"40.775593,-73.989876",NA
161 E 110th St #2E,"$838,000",NA,NA,10029,NA,"40.7947,-73.94357",NA
720 Fort Washington Ave #5Z,"$565,000",1 ba,Coop,10040,1 bd,"40.8578,-73.9344",NA
1136 5th Ave #3A,"$6,950,000",3 ba,Coop,10128,3 bd,"40.7869,-73.956085",NA
825 5th Ave #11DE,"$7,800,000",NA,NA,10065,NA,"40.76702,-73.97056",NA
345 347 West 19th St,"$14,995,000",16 ba,Townhome,10011,16 bd,"40.741512,-74.00064",NA
202 W 123rd St,"$2,550,000",NA,NA,10027,NA,"40.807686,-73.949936",NA
225 E 111th St #PH,"$1,084,000",NA,NA,10029,NA,"40.794487,-73.9411",NA
14 Sutton Pl S #14EF,"$2,995,000",3 ba,Coop,10022,3 bd,"40.75703,-73.961494",NA
1326 Madison Ave #64,"$4,450,000",NA,NA,10128,NA,"40.785862,-73.95552",NA
32 Orchard St,"$8,000,000",NA,NA,10002,NA,"40.71568,-73.99126",NA
239 Central Park W #3B,"$4,790,000",3 ba,Coop,10024,3 bd,"40.783955,-73.97083",NA
190 Edgecombe Ave,"$2,100,000",NA,NA,10030,NA,"40.822205,-73.94426",NA
1 W 72nd St #66,"$17,500,000",4 ba,Coop,10023,4 bd,"40.776424,-73.97603",NA
1 W 67th St #815,"$3,900,000",2 ba,Coop,10023,2 bd,"40.773514,-73.97884",NA
250 W 94th St #12G,"$2,275,000",3 ba,Coop,10025,2 bd,"40.793415,-73.97346",NA
310 W End Ave #12CD,"$3,295,000",2.5 ba,Coop,10023,3 bd,"40.781456,-73.982925",NA
215 W 98th St #4D,"$2,490,000",2 ba,Coop,10025,3 bd,"40.79585,-73.97019",NA
21 E 83rd St,"$15,400,000",3 ba,Townhome,10028,6 bd,"40.779327,-73.96064",NA
35 E 7th St,"$5,700,000",NA,NA,10003,NA,"40.72848,-73.98883",NA
120 E 10th St,"$7,500,000",NA,NA,10003,NA,"40.730183,-73.98817",NA
116 Waverly Pl,"$28,950,000",11 ba,Townhome,10011,7 bd,"40.732384,-73.99947",NA
120 Cabrini Blvd #54,"$855,000",1 ba,Coop,10033,2 bd,"40.853397,-73.94004",NA
238 E 68th St,"$13,500,000",NA,NA,10065,NA,"40.766445,-73.9613",NA
Address Not Disclosed,"$3,900,000",NA,NA,10023,NA,"40.773514,-73.97884",NA
447 Hudson St,"$18,500,000",NA,NA,10014,NA,"40.73115,-74.00708",NA
334 W 20th St,"$8,500,000",NA,NA,10011,NA,"40.74386,-74.00144",NA
230 Central Park W #12D,"$11,300,000",NA,NA,10024,NA,"40.783653,-73.97095",NA
1810 3rd Ave #B6A,"$804,650+",1 ba,Condo,10029,2 bd,"40.788334,-73.94752",776 sqft
340 W 86th St #5B,"$2,100,000",2 ba,Condo,10024,3 bd,"40.789436,-73.97992","1,368 sqft"
132 E 19th St #5F,"$1,675,000",NA,NA,10003,NA,"40.736553,-73.98598",NA
136 E 64th St #11F,"$1,650,000",2 ba,Coop,10065,2 bd,"40.765205,-73.966385",NA
425 E 58th St #11C,"$2,195,000",NA,NA,10022,NA,"40.758698,-73.96139",NA
130 E 75th St #6A,"$4,995,000",3 ba,Coop,10021,3 bd,"40.772514,-73.9615","2,200 sqft"
417 E 119th St,"$3,850,000",NA,NA,10035,NA,"40.797733,-73.932945",NA
1 Central Park W #40-E,"$4,600,000",NA,NA,10023,NA,"40.769108,-73.981606",NA
100 Barclay St #13R,"$5,030,500",NA,NA,10007,NA,"40.7136,-74.01195",NA
100 Barclay St #13C,"$3,338,500",NA,NA,10007,NA,"40.7136,-74.01195",NA
58 W 129th St,"$1,580,000",NA,NA,10027,NA,"40.809856,-73.943146",NA
100 Barclay St #16D,"$6,543,000",NA,NA,10007,NA,"40.7136,-74.01195",NA
959 1st Ave #24E,"$1,789,990",NA,NA,10022,NA,"40.755665,-73.96526",NA
301 E 79th St,"$1,395,000",2 ba,Condo,10075,2 bd,"40.77346,-73.95454",921 sqft
160 W 66th St #33-A,"$1,800,000",NA,NA,10023,NA,"40.77424,-73.98424",NA
1060 Park Ave #7F,"$2,595,000",1.5 ba,Coop,10128,2 bd,"40.78121,-73.95695",NA
