HOA,Housing_area,Crime_level,Address,Housing_type,Beds,Postal_code,Built_year,Baths,Housing_price
$509,985 sqft,Low,340 E 64th St #6A,Condo,1 Bedroom,10065,Built in 1965,,"$1,117/sqft"
$574,NA,Moderate,1810 3rd Ave #B9C,Condo,2 Bedroom,10029,Built in 2005,1 full Bathroom,NA
"$1,252",NA,NA,140 W 71st St #9012,Coop,1 Bedroom,10023,Built in 1914,1 full Bathroom,NA
NA,"1,600 sqft",Lowest,Address Not Disclosed,Coop,3 Bedroom,10002,NA,2 full Bathroom,
$798,820 sqft,Lowest,95 Park Ter E #5C,Coop,1 Bedroom,10034,NA,1 full Bathroom,
$861,750 sqft,Lowest,Address Not Disclosed,Condo,1 Bedroom,10014,NA,1 full Bathroom,"$3,200/sqft"
"$3,211","5,376 sqft",Lowest,1133 Park Ave,Coop,1 Bedroom,10128,Built in 1924,,NA
$327,NA,Low,230 E 52nd St #2C,Condo,NA,10022,NA,1 full Bathroom,NA
NA,NA,Moderate,465 Park Ave #404,Apt/Condo/Twnhm,2 Bedroom,10022,Built in 1926,2 full Bathroom,NA
"$2,244",850 sqft,Lowest,20 E 9th St,Coop,NA,10003,Built in 1965,1 full Bathroom,"$1,059/sqft"
$949,850 sqft,Lowest,330 Haven Ave #3C,Coop,2 Bedroom,10033,Built in 1951,1 full Bathroom,
NA,NA,Low,202 W 78th St #1W,Coop,2 Bedroom,10024,Built in 1890,1 full Bathroom,NA
"$2,050","1,400 sqft",NA,133 Mercer St #3,Coop,2 Bedroom,10012,Built in 2000,2 full Bathroom,"$2,143/sqft"
$899,625 sqft,Lowest,245 E 25th St #6L,Coop,1 Bedroom,10010,Built in 1965,1 full Bathroom,
"$1,257",725 sqft,Lowest,330 3rd Ave #14F,Coop,1 Bedroom,10010,Built in 1964,1 full Bathroom,"$1,033/sqft"
"$1,501","1,125 sqft",Lowest,121 W 17th St #4A,Coop,1 Bedroom,10011,Built in 1908,1 full Bathroom,"$1,333/sqft"
$701,"1,087 sqft",Lowest,155 W 66th St #826,Condo,1 Bedroom,10023,Built in 1997,2 full Bathroom,
"$1,719",NA,Lowest,67 Riverside Dr #8C,Coop,2 Bedroom,10024,Built in 1906,1 full Bathroom,NA
"$1,138","1,300 sqft",Low,41 E 28th St #3A,Coop,2 Bedroom,10016,Built in 1925,,"$1,458/sqft"
"$1,584",NA,Moderate,166 E 78th St #3B,Coop,2 Bedroom,10075,NA,,NA
NA,NA,Lowest,173 Riverside Dr #802,Apartment,5 Bedroom,10024,NA,4 full Bathroom,NA
"$1,063",660 sqft,NA,205 W 54th St #7G,Coop,1 Bedroom,10019,Built in 1905,1 full Bathroom,
"$4,200",NA,Lowest,143 W 20th St #12,Coop,4 Bedroom,10011,Built in 1910,,NA
NA,"14,000 sqft2,507 sqft",Lowest,7 E 76th St,Single-Family Home,9 Bedroom,10021,NA,,"$3,571/sqft"
$594,NA,Lowest,269 Bennett Ave #4H,Coop,1 Bedroom,10040,Built in 1951,1 full Bathroom,NA
"$1,097",NA,Lowest,230 E 15th St #3P,Coop,NA,10003,Built in 1961,1 full Bathroom,NA
"$4,100","4,014 sqft",NA,270 Broadway,Condo,4 Bedroom,10007,Built in 1928,,"$1,993/sqft"
$729,750 sqft,Moderate,1810 3rd Ave #A2C,Condo,2 Bedroom,10029,Built in 2005,1 full Bathroom,
"$1,440","1,536 sqft",NA,263 9th Ave #3B,Condo,2 Bedroom,10001,Built in 1913,2 full Bathroom,"$2,051/sqft"
"$1,466",700 sqft,Lowest,126 W 73rd St #7B,Coop,1 Bedroom,10023,Built in 1914,,
NA,"4,900 sqft",Low,291 7th Ave,Condo,4 Bedroom,10001,NA,3 full Bathroom,"$2,622/sqft"
"$1,053",NA,Lowest,116 Pinehurst Ave #H33,Coop,1 Bedroom,10033,Built in 1924,1 full Bathroom,NA
"$1,476",800 sqft,Low,44 W 62nd St #9E,Coop,1 Bedroom,10023,Built in 1973,1 full Bathroom,"$1,086/sqft"
"$10,857",NA,Lowest,Address Not Disclosed,Coop,2 Bedroom,10065,NA,,NA
